Severity,WCAG Rule,Category,WCAG Criterion,Element,Message,Snippet
critical,1.4.3,Color Contrast,Contrast (Minimum),"span#adminBadge","Contrast ratio 1.42:1 (need 4.5:1) — rgb(138,65,0) on rgb(178,80,0)","ADMIN"
warning,2.1.1,Keyboard,Keyboard,"span#adminBadge","Clickable span missing role/tabindex for keyboard access",""
warning,4.1.2,ARIA,Name, Role, Value,"span#adminBadge","span with role=""button"" missing tabindex",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"span#demoToggleIcon","Contrast ratio 4.14:1 (need 4.5:1) — rgb(110,110,115) on rgb(0,0,0)","◈"
warning,1.4.3,Color Contrast,Contrast (Minimum),"span#demoToggleLabel","Contrast ratio 4.14:1 (need 4.5:1) — rgb(110,110,115) on rgb(0,0,0)","Demo"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div#demoModeIndicator > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(245,158,11) on rgb(245,158,11)","DEMO MODE"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div#demoModeIndicator > button.demo-exit-btn","Contrast ratio 1.00:1 (need 4.5:1) — rgb(245,158,11) on rgb(245,158,11)","×"
warning,1.1.1,Images,Non-text Content,"div#profileAvatar > img","Meaningful image has empty alt text",""
critical,1.4.3,Color Contrast,Contrast (Minimum),"span#profileChipName","Contrast ratio 1.25:1 (need 4.5:1) — rgb(29,29,31) on rgb(0,0,0)","Cliff Jurkiewicz"
warning,1.4.3,Color Contrast,Contrast (Minimum),"button#overflowSignOut","Contrast ratio 3.76:1 (need 4.5:1) — rgb(239,68,68) on rgb(255,255,255)","Sign Out"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#skillsViewToggle > button.view-pill","Contrast ratio 4.14:1 (need 4.5:1) — rgb(110,110,115) on rgb(0,0,0)","Card"
critical,1.4.3,Color Contrast,Contrast (Minimum),"span#matchActiveTitle","Contrast ratio 1.85:1 (need 4.5:1) — rgb(0,113,227) on rgb(96,165,250)","Loading..."
critical,1.4.3,Color Contrast,Contrast (Minimum),"div#matchActiveBadge > button","Contrast ratio 1.99:1 (need 4.5:1) — rgb(110,110,115) on rgb(96,165,250)","×"
warning,2.1.1,Keyboard,Keyboard,"div#roleChipsContainer > div.role-chip.active","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#roleChipsContainer > div.role-chip","Contrast ratio 4.14:1 (need 4.5:1) — rgb(110,110,115) on rgb(0,0,0)","VP, Global Strategy, GM CAB & Futurist"
warning,2.1.1,Keyboard,Keyboard,"div#roleChipsContainer > div.role-chip","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#roleChipsContainer > div.role-chip","Contrast ratio 4.14:1 (need 4.5:1) — rgb(110,110,115) on rgb(0,0,0)","Co-Founder/Chief Pilot"
warning,2.1.1,Keyboard,Keyboard,"div#roleChipsContainer > div.role-chip","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#roleChipsContainer > div.role-chip","Contrast ratio 4.14:1 (need 4.5:1) — rgb(110,110,115) on rgb(0,0,0)","Touring/Studio Musician"
warning,2.1.1,Keyboard,Keyboard,"div#roleChipsContainer > div.role-chip","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#roleChipsContainer > div.role-chip","Contrast ratio 4.14:1 (need 4.5:1) — rgb(110,110,115) on rgb(0,0,0)","Technology Strategist"
warning,2.1.1,Keyboard,Keyboard,"div#roleChipsContainer > div.role-chip","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#roleChipsContainer > div.role-chip","Contrast ratio 4.14:1 (need 4.5:1) — rgb(110,110,115) on rgb(0,0,0)","Managing Partner"
warning,2.1.1,Keyboard,Keyboard,"div#roleChipsContainer > div.role-chip","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#levelChipsContainer > div.level-chip.mastery","Contrast ratio 4.47:1 (need 4.5:1) — rgb(29,29,31) on rgb(239,68,68)","Mastery (18)"
warning,2.1.1,Keyboard,Keyboard,"div#levelChipsContainer > div.level-chip.mastery","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div#levelChipsContainer > div.level-chip.expert","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div#levelChipsContainer > div.level-chip.advanced","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div#levelChipsContainer > div.level-chip.proficient","Clickable div missing role/tabindex for keyboard access",""
critical,1.4.3,Color Contrast,Contrast (Minimum),"div#levelChipsContainer > div.level-chip.novice","Contrast ratio 2.81:1 (need 4.5:1) — rgb(29,29,31) on rgb(99,99,102)","Novice (2)"
warning,2.1.1,Keyboard,Keyboard,"div#levelChipsContainer > div.level-chip.novice","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Rare"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","(22)"
